prompt,checkpoint,dim,cosine,max_abs_err,mean_abs_err,rmse,l2_rel_err,first_divergence,status
TEST-A,ckpt12a_block_05_gqa_q,2560,0.99775026,0.111171,0.023807,0.029935,0.067118,YES,PASS
TEST-A,ckpt12a_block_23_gqa_q,2560,0.99720223,0.149488,0.027553,0.034495,0.074867,YES,PASS
TEST-A,ckpt12b_block_02_gqa_k,512,0.99871109,0.075455,0.017624,0.022495,0.050860,YES,PASS
TEST-A,ckpt12b_block_05_gqa_k,512,0.99769990,0.090412,0.024034,0.029997,0.067791,YES,PASS
TEST-A,ckpt12b_block_23_gqa_k,512,0.99724872,0.132909,0.026163,0.033404,0.074130,YES,PASS
TEST-A,ckpt12c_block_02_gqa_v,512,0.99852366,0.090542,0.019279,0.023580,0.054371,YES,PASS
TEST-A,ckpt12c_block_05_gqa_v,512,0.99800785,0.105024,0.023668,0.029849,0.063137,YES,PASS
TEST-A,ckpt12c_block_23_gqa_v,512,0.99816995,0.113428,0.027049,0.033448,0.060472,YES,PASS
TEST-A,ckpt13_block_02_gqa_attention,2560,0.99081521,0.083066,0.024073,0.029619,0.137184,YES,PASS
TEST-A,ckpt13_block_05_gqa_attention,2560,0.99127640,0.099200,0.023768,0.029553,0.132257,YES,PASS
TEST-A,ckpt13_block_23_gqa_attention,2560,0.99514470,0.138516,0.032112,0.039253,0.099236,YES,PASS
TEST-A,ckpt14_block_02_gqa_out_proj,2560,0.99106147,0.043680,0.010521,0.013055,0.134624,YES,PASS
TEST-A,ckpt14_block_05_gqa_out_proj,2560,0.99199266,0.044518,0.009898,0.012567,0.126796,YES,PASS
TEST-A,ckpt14_block_23_gqa_out_proj,2560,0.99907252,0.065661,0.013487,0.016967,0.043495,YES,PASS
TEST-A,ckpt15_block_02_gqa_residual,2560,0.99849507,0.202492,0.048431,0.060534,0.055067,YES,PASS
TEST-A,ckpt15_block_05_gqa_residual,2560,0.99763470,0.303498,0.070626,0.088043,0.069793,YES,PASS
TEST-A,ckpt15_block_23_gqa_residual,2560,0.99710140,0.639668,0.156789,0.196773,0.082618,YES,PASS
TEST-A,ckpt16_block_00_ffn_norm,2560,0.99917211,0.131056,0.032652,0.040691,0.040691,YES,PASS
TEST-A,ckpt16_block_01_ffn_norm,2560,0.99845037,0.194105,0.044255,0.055671,0.055671,YES,PASS
TEST-A,ckpt16_block_02_ffn_norm,2560,0.99849507,0.189164,0.043818,0.054862,0.054862,YES,PASS
TEST-A,ckpt16_block_03_ffn_norm,2560,0.99801516,0.212698,0.050477,0.063005,0.063005,YES,PASS
TEST-A,ckpt16_block_04_ffn_norm,2560,0.99746410,0.242386,0.057011,0.071216,0.071217,YES,PASS
TEST-A,ckpt16_block_05_ffn_norm,2560,0.99763470,0.229995,0.055147,0.068779,0.068779,YES,PASS
TEST-A,ckpt16_block_12_ffn_norm,2560,0.99647915,0.284114,0.066975,0.083915,0.083915,YES,PASS
TEST-A,ckpt16_block_23_ffn_norm,2560,0.99710140,0.259895,0.060949,0.076139,0.076139,YES,PASS
TEST-A,ckpt17_block_00_ffn_gate,6912,0.99917618,0.072658,0.014335,0.018013,0.040584,YES,PASS
TEST-A,ckpt17_block_01_ffn_gate,6912,0.99861020,0.100812,0.019429,0.024183,0.052721,YES,PASS
TEST-A,ckpt17_block_02_ffn_gate,6912,0.99856302,0.088767,0.019343,0.024285,0.053603,YES,PASS
